Address,COUNTA of Address,ADM3_EN,ADM2_EN,ADM1_EN
"GHORAMARA,SITAKUNDA,C TG",3,Sitakunda,Chittagong,Chittagong
"GONDAMARA,BANSHKHALI, CTG",3,Banshkhali,Chittagong,Chittagong
"GOZARIA,MIRSARAI,CTG",3,Mirsharai,Chittagong,Chittagong
"HABILASHDIP,POTIYA,CTG.",3,Patiya,Chittagong,Chittagong
HARAMIA SANDWIP CTG,3,Sandwip,Chittagong,Chittagong
"HATAHZARI,CTG",3,Hathazari,Chittagong,Chittagong
HATIYA,3,Hatiya,Noakhali,Chittagong
HATIYA NOAKHALI,3,Hatiya,Noakhali,Chittagong
"HATIYA,NOAKHALI",3,Hatiya,Noakhali,Chittagong
"ISANAGAR,KARNAFULY,CTG",3,Zianagar,Pirojpur,Barisal
"JAFARNAGAR,SITAKUNDA, CTG",3,Sitakunda,Chittagong,Chittagong
JHINAIDAHA,3,Jhenaidah Sadar,Jhenaidah,Khulna
